image,crack_id,longitud_cm,abertura_superior_cm,abertura_inferior_cm,abertura_intermedia_cm,inclinacion,criterio_de_falla
20250729_145200.jpg,F1,140.1,0.74,0.59,6.99,Vertical,Falla a Flexión
20250729_145200.jpg,F2,22.62,0.3,0.15,0.38,Diagonal,Falla a Cortante
20250729_145200.jpg,F3,10.89,0.32,0.6,0.88,Horizontal,Falla a Compresión
20250729_145200.jpg,F4,13.99,0.46,0.15,0.86,Vertical,Falla a Flexión
20250729_145200.jpg,F5,481.91,1.77,0.25,0.05,Vertical,Falla a Flexión
20250729_145200.jpg,F6,9.62,0.05,0.48,0.19,Diagonal,Falla a Cortante
20250729_145200.jpg,F7,17.16,0.46,0.25,0.61,Vertical,Falla a Flexión
20250729_145200.jpg,F8,9.73,0.48,0.46,0.42,Diagonal,Falla a Cortante
20250729_145200.jpg,F9,8.53,0.24,0.33,0.43,Diagonal,Falla a Cortante
20250729_145200.jpg,F10,213.99,0.56,0.56,0.05,Diagonal,Falla a Cortante
20250729_145200.jpg,F11,16.6,0.81,0.54,0.25,Diagonal,Falla a Cortante
20250729_145200.jpg,F12,38.48,0.21,0.53,0.31,Diagonal,Falla a Cortante
20250729_145200.jpg,F13,137.69,0.79,4.52,0.48,Vertical,Falla a Flexión
20250729_145200.jpg,F14,19.63,0.36,0.15,0.27,Diagonal,Falla a Cortante
20250729_145200.jpg,F15,5.88,0.05,0.48,0.48,Vertical,Falla a Flexión
20250729_145200.jpg,F16,5.88,0.06,0.25,0.15,Diagonal,Falla a Cortante
20250729_145200.jpg,F17,15.21,0.3,0.51,0.3,Diagonal,Falla a Cortante
20250729_145200.jpg,F18,15.62,0.48,0.36,0.25,Diagonal,Falla a Cortante
20250729_145200.jpg,F19,191.25,8.84,0.18,0.18,Vertical,Falla a Flexión
20250729_145218.jpg,F1,17.11,0.34,0.51,0.61,Diagonal,Falla a Cortante
20250729_145218.jpg,F2,16.97,0.67,0.43,0.18,Vertical,Falla a Flexión
20250729_145218.jpg,F3,19.01,1.1,0.24,0.83,Vertical,Falla a Flexión
20250729_145218.jpg,F4,163.79,0.62,0.18,0.06,Vertical,Fisura No Estructural
20250729_145218.jpg,F5,13.31,0.21,0.46,0.79,Diagonal,Falla a Cortante
20250729_145218.jpg,F6,173.14,0.31,0.21,0.09,Vertical,Fisura No Estructural
20250729_145218.jpg,F7,12.36,0.95,0.49,0.06,Vertical,Falla a Flexión
20250729_145218.jpg,F8,9.81,0.7,1.07,0.12,Vertical,Falla a Flexión
20250729_145218.jpg,F9,9.97,0.24,0.55,0.55,Diagonal,Falla a Cortante
20250729_145218.jpg,F10,180.99,0.18,0.46,0.06,Vertical,Fisura No Estructural
20250729_145218.jpg,F11,14.75,0.09,0.28,0.07,Diagonal,Falla a Cortante
